368,130,816,130,816,166,368,166,0.99972755
544,373,784,373,784,404,544,404,0.99970883
320,418,720,418,720,448,320,448,0.9996965
320,372,464,372,464,401,320,401,0.9996916
528,451,688,451,688,485,528,485,0.9996809
320,319,688,319,688,362,320,362,0.99967444
64,538,352,538,352,569,64,569,0.99966955
368,192,768,192,768,229,368,229,0.9996679
384,516,816,516,816,547,384,547,0.9996648
320,51,864,51,864,79,320,79,0.99965787
464,248,752,248,752,278,464,278,0.9996563
464,485,880,485,880,515,464,515,0.99965525
400,85,784,85,784,108,400,108,0.99965215
304,473,464,473,464,501,304,501,0.99964774
304,255,432,255,432,277,304,277,0.999645
