368,173,816,173,816,218,368,218,0.999696
560,373,832,373,832,408,560,408,0.99969137
320,422,800,422,800,457,320,457,0.9996885
304,238,832,238,832,270,304,270,0.99967957
304,485,848,485,848,535,304,535,0.9996731
32,558,368,558,368,595,32,595,0.99967146
304,316,736,316,736,365,304,365,0.99967134
496,531,768,531,768,564,496,564,0.999668
304,374,496,374,496,410,304,410,0.99966764
304,24,896,24,896,58,304,58,0.9996661
352,108,848,108,848,152,352,152,0.9996643
400,61,800,61,800,90,400,90,0.9996635
