367,168,752,165,752,213,368,216,0.9997223
400,96,720,96,720,121,399,121,0.9997141
288,330,448,333,448,361,287,358,0.9997125
288,377,528,379,528,405,287,403,0.9997123
287,237,784,229,784,257,288,264,0.99970895
432,505,688,505,688,535,431,535,0.9997055
288,467,560,468,560,493,287,493,0.9996929
608,455,752,456,752,485,607,484,0.9996929
528,364,672,365,672,395,527,393,0.999691
319,136,800,136,800,167,320,168,0.999691
303,68,816,68,816,93,304,93,0.9996778
351,413,608,412,608,442,352,443,0.9996768
480,316,672,317,672,349,479,348,0.99967444
496,264,624,265,624,301,495,299,0.99966896
