335,181,640,177,640,211,336,214,0.999716
256,332,400,335,400,363,255,361,0.99971515
255,379,448,377,448,404,256,406,0.99970883
287,510,768,502,768,533,288,541,0.99970764
255,470,528,468,528,494,256,496,0.9997056
319,271,608,268,608,297,320,300,0.9996978
255,241,768,226,768,258,256,273,0.9996973
271,69,784,59,784,87,272,97,0.99969256
384,443,496,445,496,467,383,464,0.99969256
287,139,768,126,768,158,288,172,0.99969196
591,460,704,459,704,490,592,491,0.9996885
528,370,672,371,672,401,527,400,0.99968576
416,317,673,328,672,358,414,348,0.9996823
351,97,688,89,688,114,352,122,0.99968207
