271,246,784,245,784,275,272,276,0.9997156
383,104,704,104,704,125,384,125,0.99971086
528,338,720,341,720,371,527,369,0.99969256
303,145,784,139,784,170,304,176,0.9996921
303,526,800,521,800,553,304,557,0.9996886
288,74,800,74,800,101,287,100,0.99968195
431,177,512,177,512,197,432,197,0.9996772
319,434,784,434,784,466,320,466,0.99967
256,477,815,479,815,509,255,507,0.9996623
334,222,480,215,481,248,336,256,0.9996617
336,185,688,190,688,223,335,219,0.9996462
256,384,752,389,752,419,255,414,0.9996382
256,335,417,342,416,372,254,364,0.9996307
