256,341,400,345,400,372,255,368,0.9997106
255,475,720,468,720,496,256,503,0.9997093
287,154,752,145,752,177,288,186,0.99970895
256,386,480,392,480,419,255,412,0.9997063
480,334,656,335,656,364,479,363,0.99969244
255,253,736,240,736,269,256,283,0.9996916
271,90,752,81,752,107,272,115,0.999688
352,420,640,424,640,454,351,450,0.99967754
192,423,244,426,240,492,187,488,0.99967587
352,507,640,509,640,538,351,536,0.9996711
480,378,672,379,672,411,479,410,0.9996685
318,190,720,180,721,224,320,234,0.99966145
351,118,672,110,672,132,352,141,0.9996551
