527,429,784,428,784,457,528,458,0.99973184
431,547,912,547,912,578,432,578,0.9997136
463,268,800,266,800,296,464,298,0.9997098
319,28,928,22,928,51,320,57,0.999686
319,324,752,324,752,352,320,352,0.9996766
319,251,448,250,448,273,320,274,0.9996761
415,62,816,58,816,86,416,90,0.9996753
319,498,496,497,496,522,320,523,0.9996753
320,373,496,375,496,400,319,398,0.9996697
319,425,448,424,448,450,320,450,0.99966943
16,564,352,568,352,594,15,591,0.9996679
367,110,864,108,864,151,368,152,0.99966264
560,370,848,372,848,401,559,399,0.9996606
367,173,848,162,848,203,368,214,0.99965763
560,501,752,501,752,531,559,530,0.9996543
