0,516,864,516,864,546,0,546,0.9997409
0,561,864,561,864,593,0,593,0.9997099
288,248,464,248,464,274,288,274,0.9996842
576,248,816,248,816,280,576,280,0.9996007
288,342,864,342,864,366,288,366,0.99955505
288,160,512,160,512,184,288,184,0.9995546
288,311,432,311,432,335,288,335,0.99955195
16,13,864,13,864,38,16,38,0.99954385
624,102,752,102,752,129,624,129,0.99950576
288,435,624,435,624,465,288,465,0.99950075
576,372,752,372,752,399,576,399,0.9994974
288,371,464,371,464,396,288,396,0.99949574
272,125,512,125,512,146,272,146,0.9994874
0,60,864,60,864,89,0,89,0.9994862
560,278,832,278,832,307,560,307,0.99948275
272,187,512,187,512,208,272,208,0.99948263
560,185,864,185,864,207,560,207,0.9994784
272,401,512,401,512,424,272,424,0.9994723
272,216,816,216,816,241,272,241,0.9994677
560,309,720,309,720,335,560,335,0.99945945
464,94,560,94,560,118,464,118,0.9994593
272,280,432,280,432,300,272,300,0.99945205
