544,319,688,319,688,346,544,346,0.99976903
400,74,784,74,784,101,400,101,0.99974865
304,41,880,41,880,68,304,68,0.9997415
304,332,544,332,544,359,304,359,0.99972767
304,245,800,245,800,273,304,273,0.9997259
304,420,720,420,720,450,304,450,0.99971515
352,120,832,120,832,160,352,160,0.99971133
304,470,800,470,800,529,304,529,0.99971074
304,370,448,370,448,401,304,401,0.99970883
352,183,784,183,784,225,352,225,0.99970514
64,533,336,533,336,561,64,561,0.9996991
528,375,784,375,784,405,528,405,0.99969685
448,515,720,515,720,553,448,553,0.99968684
