640,430,815,430,815,457,640,457,0.99956065
640,457,704,457,704,486,640,486,0.99953413
576,330,704,330,704,353,576,353,0.9995229
272,335,464,335,464,355,272,355,0.9995196
272,269,432,269,432,288,272,288,0.9995183
512,264,720,264,720,284,512,284,0.999516
272,369,448,369,448,389,272,389,0.9994955
272,298,480,298,480,323,272,323,0.99949193
320,430,576,430,576,459,320,459,0.99947983
288,124,544,124,544,151,288,151,0.99947876
464,491,704,491,704,522,464,522,0.99947244
112,131,240,131,240,151,112,151,0.99946743
336,391,752,391,752,414,336,414,0.99946636
496,473,672,473,672,500,496,500,0.9994629
464,446,496,446,496,497,464,497,0.9994579
704,464,736,464,736,511,704,511,0.99943954
512,442,640,442,640,475,512,475,0.9994267
416,223,720,223,720,251,416,251,0.999421
128,156,224,156,224,178,128,178,0.9994197
560,295,704,295,704,317,560,317,0.9994172
64,542,704,542,704,589,64,589,0.9994122
352,153,528,153,528,179,352,179,0.9994005
80,504,208,504,208,523,80,523,0.9994
688,119,768,119,768,140,688,140,0.99939954
464,522,624,522,624,552,464,552,0.9993754
256,188,528,188,528,215,256,215,0.9993749
